Period,Prey,Predator
1,950,15
2,901,15
3,853,15
4,807,16
5,763,16
6,720,16
7,679,16
8,640,16
9,603,16
10,567,16
11,534,16
12,502,16
13,472,16
14,444,16
15,418,16
16,393,16
17,370,16
18,349,16
19,328,16
20,309,16
21,292,16
22,275,16
23,260,16
24,246,15
25,232,15
26,220,15
27,208,15
28,198,15
29,187,15
30,178,15
31,169,15
32,161,15
33,154,15
34,146,15
35,140,14
36,134,14
37,128,14
38,123,14
39,118,14
40,113,14
41,108,14
42,104,14
43,101,14
44,97,13
45,94,13
46,90,13
47,88,13
48,85,13
49,82,13
50,80,13
51,78,13
52,76,13
53,74,12
54,72,12
55,70,12
56,68,12
57,67,12
58,66,12
59,64,12
60,63,12
61,62,12
62,61,12
63,60,11
64,59,11
65,58,11
66,58,11
67,57,11
68,56,11
69,56,11
70,55,11
71,55,11
72,55,11
73,54,10
74,54,10
75,54,10
76,54,10
77,54,10
78,54,10
79,54,10
80,54,10
81,54,10
82,54,10
83,54,10
84,54,9
85,55,9
86,55,9
87,55,9
88,56,9
89,56,9
90,57,9
91,57,9
92,58,9
93,58,9
94,59,9
95,60,9
96,61,9
97,62,8
98,63,8
99,64,8
100,65,8
101,66,8
102,67,8
103,68,8
104,70,8
105,71,8
106,73,8
107,74,8
108,76,8
109,78,8
110,80,8
111,82,7
112,84,7
113,86,7
114,88,7
115,90,7
116,93,7
117,96,7
118,98,7
119,101,7
120,104,7
121,107,7
122,111,7
123,114,7
124,118,7
125,122,7
126,126,7
127,130,7
128,134,7
129,139,6
130,144,6
131,149,6
132,154,6
133,160,6
134,166,6
135,172,6
136,179,6
137,186,6
138,193,6
139,200,6
140,208,6
141,216,6
142,225,6
143,234,6
144,244,6
145,254,6
146,264,6
147,275,6
148,287,6
149,299,6
150,311,6
151,325,6
152,339,6
153,353,6
154,369,6
155,385,6
156,401,6
157,419,6
158,437,6
159,456,6
160,476,6
161,497,6
162,519,6
163,542,6
164,566,6
165,591,6
166,617,6
167,644,6
168,672,6
169,701,6
170,732,6
171,763,6
172,796,6
173,830,6
174,865,6
175,901,6
176,938,6
177,976,6
178,1016,6
179,1056,6
180,1098,6
181,1140,6
182,1183,6
183,1227,6
184,1271,6
185,1316,7
186,1361,7
187,1406,7
188,1451,7
189,1495,7
190,1539,7
191,1582,7
192,1624,8
193,1665,8
194,1704,8
195,1740,8
196,1774,8
197,1805,8
198,1833,9
199,1858,9
200,1878,9
201,1894,9
202,1905,10
203,1912,10
204,1913,10
205,1909,11
206,1900,11
207,1884,11
208,1864,11
209,1837,12
210,1806,12
211,1769,12
212,1728,13
213,1682,13
214,1632,13
215,1578,14
216,1522,14
217,1463,14
218,1402,14
219,1340,15
220,1277,15
221,1214,15
222,1152,15
223,1090,16
224,1029,16
225,969,16
226,912,16
227,856,16
228,803,16
229,752,16
230,704,17
231,658,17
232,615,17
233,574,17
234,536,17
235,500,17
236,466,17
237,435,17
238,406,17
239,379,17
240,354,17
241,330,17
242,309,16
243,289,16
244,270,16
245,253,16
246,237,16
247,222,16
248,209,16
249,196,16
250,184,16
251,174,16
252,164,16
253,154,16
254,146,15
255,138,15
256,131,15
257,124,15
258,118,15
259,112,15
260,106,15
261,101,15
262,96,15
263,92,14
264,88,14
265,84,14
266,81,14
267,78,14
268,74,14
269,72,14
270,69,14
271,66,13
272,64,13
273,62,13
274,60,13
275,58,13
276,56,13
277,55,13
278,53,13
279,52,13
280,51,12
281,49,12
282,48,12
283,47,12
284,46,12
285,45,12
286,44,12
287,44,12
288,43,12
289,42,11
290,42,11
291,41,11
292,41,11
293,40,11
294,40,11
295,39,11
296,39,11
297,39,11
298,38,11
299,38,10
300,38,10
301,38,10
302,38,10
303,38,10
304,38,10
305,38,10
306,38,10
307,38,10
308,38,10
309,38,10
310,38,9
311,39,9
312,39,9
313,39,9
314,39,9
315,40,9
316,40,9
317,41,9
318,41,9
319,42,9
320,42,9
321,43,9
322,43,8
323,44,8
324,45,8
325,46,8
326,46,8
327,47,8
328,48,8
329,49,8
330,50,8
331,51,8
332,52,8
333,54,8
334,55,8
335,56,7
336,58,7
337,59,7
338,61,7
339,62,7
340,64,7
341,66,7
342,68,7
343,70,7
344,72,7
345,74,7
346,76,7
347,79,7
348,81,7
349,84,7
350,87,7
351,90,7
352,93,6
353,96,6
354,100,6
355,103,6
356,107,6
357,111,6
358,115,6
359,120,6
360,124,6
361,129,6
362,134,6
363,140,6
364,145,6
365,151,6
366,157,6
367,164,6
368,171,6
369,178,6
370,186,6
371,194,6
372,202,6
373,211,6
374,221,6
375,231,5
376,241,5
377,252,5
378,263,5
379,275,5
380,288,5
381,301,5
382,315,5
383,330,5
384,346,5
385,362,5
386,379,5
387,397,5
388,416,5
389,436,5
390,457,5
391,479,5
392,502,5
393,526,5
394,551,5
395,577,5
396,605,5
397,634,5
398,664,5
399,695,5
400,728,5
401,763,5
402,799,5
403,836,5
404,874,5
405,915,5
406,956,5
407,999,6
408,1044,6
409,1090,6
410,1137,6
411,1186,6
412,1236,6
413,1287,6
414,1339,6
415,1391,6
416,1445,6
417,1499,6
418,1553,7
419,1607,7
420,1661,7
421,1714,7
422,1766,7
423,1817,7
424,1866,7
425,1913,8
426,1957,8
427,1997,8
428,2034,8
429,2067,9
430,2095,9
431,2117,9
432,2134,10
433,2144,10
434,2148,10
435,2145,10
436,2135,11
437,2118,11
438,2093,12
439,2061,12
440,2021,12
441,1976,13
442,1923,13
443,1865,13
444,1802,14
445,1734,14
446,1663,14
447,1589,15
448,1512,15
449,1435,15
450,1357,16
451,1279,16
452,1203,16
453,1128,16
454,1055,17
455,985,17
456,917,17
457,853,17
458,792,17
459,734,17
460,680,17
461,629,18
462,582,18
463,538,18
464,497,18
465,459,18
466,424,18
467,392,18
468,362,18
469,335,17
470,310,17
471,287,17
472,266,17
473,246,17
474,229,17
475,212,17
476,197,17
477,184,17
478,171,17
479,160,17
480,149,16
481,139,16
482,131,16
483,122,16
484,115,16
485,108,16
486,102,16
487,96,16
488,90,16
489,85,15
490,81,15
491,76,15
492,73,15
493,69,15
494,66,15
495,62,15
496,60,14
497,57,14
498,54,14
499,52,14
500,50,14
501,48,14
502,46,14
503,44,14
504,43,13
505,41,13
506,40,13
507,39,13
508,37,13
509,36,13
